,date,nav
1887,10-10-2018,51.69010
1888,09-10-2018,49.99840
1889,08-10-2018,50.31910
1890,05-10-2018,51.09670
1891,04-10-2018,51.95750
1892,03-10-2018,52.91920
1893,01-10-2018,52.88300
1894,28-09-2018,53.31710
1895,27-09-2018,54.44660
1896,26-09-2018,55.12020
1897,25-09-2018,54.82740
1898,24-09-2018,55.28210
1899,21-09-2018,56.44670
1900,19-09-2018,57.58210
1901,18-09-2018,58.00360
1902,17-09-2018,58.55040
1903,14-09-2018,58.79830
1904,12-09-2018,58.20590
1905,11-09-2018,58.31700
1906,10-09-2018,58.94300
1907,07-09-2018,59.38140
1908,06-09-2018,59.23830
1909,05-09-2018,58.69490
1910,04-09-2018,58.88900
1911,03-09-2018,59.89740
1912,31-08-2018,60.12870
1913,30-08-2018,59.57190
1914,29-08-2018,59.49070
1915,28-08-2018,59.55450
1916,27-08-2018,59.34420
1917,24-08-2018,58.86170
1918,23-08-2018,59.03100
1919,21-08-2018,58.88570
1920,20-08-2018,58.75970
1921,17-08-2018,58.75550
1922,16-08-2018,58.38800
1923,14-08-2018,58.07810
1924,13-08-2018,58.24510
1925,10-08-2018,58.65510
1926,09-08-2018,58.75430
1927,08-08-2018,59.00290
1928,07-08-2018,58.98340
1929,06-08-2018,58.79140
1930,03-08-2018,57.75940
1931,02-08-2018,57.21620
1932,01-08-2018,57.02160
1933,31-07-2018,56.61810
1934,30-07-2018,56.27370
1935,27-07-2018,55.85320
1936,26-07-2018,54.61710
1937,25-07-2018,54.39810
1938,24-07-2018,54.29350
1939,23-07-2018,53.49570
1940,20-07-2018,53.12790
1941,19-07-2018,53.06480
1942,18-07-2018,53.35840
1943,17-07-2018,53.92080
1944,16-07-2018,53.81820
1945,13-07-2018,54.73510
1946,12-07-2018,54.92570
1947,11-07-2018,55.01340
1948,10-07-2018,54.97680
1949,09-07-2018,54.86680
1950,06-07-2018,54.19960
1951,05-07-2018,53.97470
1952,04-07-2018,54.16200
1953,03-07-2018,53.97300
1954,02-07-2018,53.90290
1955,29-06-2018,54.06380
1956,28-06-2018,53.23720
1957,27-06-2018,53.70150
1958,26-06-2018,54.63160
1959,25-06-2018,55.00550
1960,22-06-2018,55.55480
1961,21-06-2018,55.58140
1962,20-06-2018,55.96440
1963,19-06-2018,56.05860
1964,18-06-2018,56.86800
1965,15-06-2018,57.06720
1966,14-06-2018,57.43870
1967,13-06-2018,57.25220
1968,12-06-2018,57.44040
1969,11-06-2018,57.39460
1970,08-06-2018,57.04480
1971,07-06-2018,57.00310
1972,06-06-2018,55.91000
1973,05-06-2018,55.14420
1974,04-06-2018,56.50650
1975,01-06-2018,57.87650
1976,31-05-2018,58.99500
1977,30-05-2018,59.63590
1978,29-05-2018,59.49560
1979,28-05-2018,59.79380
1980,25-05-2018,59.25500
1981,24-05-2018,59.29310
1982,23-05-2018,59.33980
1983,22-05-2018,59.79250
1984,21-05-2018,59.73260
